major
bII,2b 4 6b
bVI,6b 1 3b
GermanVI,6b 1 3b 4#
FrenchVI,6b 1 2 4#
ItalianVI,6b 1 4#
Dim7,7 2 4 6b
minor
bII,2b 4 6b
GermanVI,6b 1 3b 4#
FrenchVI,6b 1 2 4#
ItalianVI,6b 1 4#
Dim7,7 2 4,7 2 4 6b
