Mode,Param,Strict,Relaxed
KTC,NoCommon_3_.1,0.27734375,0.26953125
KTC,NoCommon_3_.2,0.33203125,0.32421875
KTC,NoCommon_4_.1,0.23828125,0.236328125
KTC,NoCommon_4_.2,0.32421875,0.32421875
KTC,ComplexCommon_4_.2,0.32421875,0.32421875
KTC,SimpleCommon_4_.2,0.32421875,0.32421875
KAC,NoCommon_4_.2,0.3046875,0.3046875
KAC,SimpleCommon_4_.2,0.32421875,0.32421875
