offset,key
0.0,c Minor
1.0,c Minor
2.0,c Minor
3.0,c Minor
5.0,A- Major
6.0,A- Major
7.0,A- Major
8.0,c Minor
9.0,c Minor
10.0,c Minor
11.0,c Minor
