offset,key
0.0,D- Major
6.0,A- Major
6.5,D- Major
15.5,e- Minor
22.50625,D- Major
29.00625,A- Major
30.00625,D- Major
32.00625,G- Major
36.00625,e- Minor
42.50625,a- Minor
46.00625,e- Minor
57.00625,b- Minor
74.50625,D- Major
82.00625,A- Major
82.50625,D- Major
91.50625,e- Minor
98.5125,D- Major
108.0125,c# Minor
146.0125,g# Minor
147.0125,c# Minor
156.0125,g# Minor
172.0125,c# Minor
210.0125,g# Minor
211.0125,c# Minor
220.0125,g# Minor
238.0125,c# Minor
243.0125,G# Major
244.0125,c# Minor
247.0125,G# Major
248.0125,f# Minor
252.0125,C# Major
254.0125,c# Minor
256.0125,C# Major
257.0125,c# Minor
275.0125,G# Major
276.0125,C# Major
287.0125,c# Minor
294.0125,C# Major
298.5125,e- Minor
306.5125,D- Major
313.5125,A- Major
314.0125,D- Major
320.0125,e- Minor
328.0125,D- Major
