offset,key
0.0,E- Major
4.0,E- Major
5.0,E- Major
6.0,E- Major
7.0,E- Major
8.0,E- Major
9.0,E- Major
10.0,E- Major
11.0,E- Major
12.0,E- Major
13.0,E- Major
14.0,E- Major
15.0,E- Major
17.0,E- Major
18.0,E- Major
19.0,E- Major
20.0,E- Major
23.0,E- Major
27.0,E- Major
28.0,E- Major
29.0,E- Major
31.0,E- Major
32.0,E- Major
33.0,E- Major
35.0,E- Major
36.0,E- Major
37.0,E- Major
43.0,E- Major
45.0,E- Major
46.0,E- Major
52.0,E- Major
55.0,E- Major
58.0,E- Major
61.0,E- Major
64.0,E- Major
211/3,G Major
229/3,f Minor
235/3,c Minor
238/3,c Minor
244/3,c Minor
253/3,c Minor
265/3,c Minor
274/3,c Minor
280/3,c Minor
289/3,c Minor
