offset,key
6.0,e- Minor
8.0,B- Major
12.0,e- Minor
14.0,B- Major
18.0,e- Minor
19.5,E- Major
21.5,F Major
22.0,E- Major
30.0,e- Minor
31.5,E- Major
32.0,c Minor
42.5,G Major
58.0,B- Major
60.0,D- Major
60.5,B- Major
62.0,a- Minor
65.5,B- Major
71.75,e- Minor
72.0,B- Major
78.0,e- Minor
86.5,a- Minor
88.0,G- Major
89.0,B- Major
90.0,e- Minor
104.75,E- Major
113.5,f Minor
119.0,E- Major
121.0,A- Major
124.0,E- Major
127.0,e- Minor
128.0,B- Major
128.5,E- Major
138.0,A- Major
144.0,
