offset,key
0.0,c Minor
2.0,c Minor
3.0,c Minor
4.0,c Minor
6.0,c Minor
7.0,c Minor
8.0,c Minor
10.0,c Minor
11.0,c Minor
12.0,c Minor
14.0,c Minor
15.0,c Minor
16.0,c Minor
18.0,c Minor
20.0,c Minor
22.0,c Minor
