offset,key
0.0,f Minor
4.0,G Major
5.0,C Major
21.0,D- Major
23.0,B- Major
24.0,A- Major
34.5,b- Minor
35.0,A- Major
47.0,C Major
48.0,f Minor
50.5,g Minor
51.0,f Minor
75.0,C Major
78.0,f Minor
84.5,D- Major
88.0,C- Major
91.0,A- Major
92.0,b- Minor
93.5,A- Major
94.0,f Minor
100.5,D- Major
110.0,b- Minor
116.5,G- Major
121.0,D- Major
124.0,C- Major
125.5,D- Major
126.0,b- Minor
132.5,G- Major
137.0,B- Major
137.5,E- Major
139.0,e- Minor
141.5,g Minor
142.0,e- Minor
145.0,D- Major
151.0,A- Major
153.5,D- Major
158.0,C- Major
161.0,A- Major
162.0,b- Minor
163.5,A- Major
164.0,f Minor
170.5,D- Major
174.0,C- Major
177.0,A- Major
182.5,b- Minor
190.0,f Minor
195.5,G Major
196.5,C Major
205.5,f Minor
211.5,G Major
212.5,C Major
228.5,D- Major
230.5,B- Major
231.5,A- Major
242.0,b- Minor
242.5,A- Major
254.5,C Major
255.5,f Minor
258.0,g Minor
258.5,f Minor
286.5,C Major
289.5,f Minor
313.5,F Major
321.75,
