offset,key
0.0,C Major
4.0,C Major
6.0,C Major
8.0,C Major
10.0,C Major
12.0,C Major
14.0,C Major
18.0,C Major
20.0,C Major
22.0,C Major
26.0,C Major
28.0,C Major
30.0,C Major
36.0,C Major
38.0,C Major
40.0,C Major
42.0,C Major
44.0,F Major
45.0,F Major
46.0,F Major
47.0,F Major
48.0,F Major
52.0,F Major
54.0,F Major
56.0,F Major
58.0,F Major
60.0,F Major
62.0,F Major
66.0,F Major
68.0,F Major
70.0,F Major
72.0,F Major
74.0,F Major
76.0,F Major
78.0,F Major
80.0,F Major
84.0,F Major
86.0,F Major
88.0,F Major
90.0,F Major
92.0,F Major
94.0,F Major
