offset,key
0.0,g Minor
12.0,g Minor
13.0,g Minor
14.0,g Minor
15.0,g Minor
19.0,g Minor
21.0,g Minor
22.0,g Minor
23.0,g Minor
26.0,g Minor
29.0,g Minor
30.0,g Minor
31.0,g Minor
32.0,g Minor
36.0,g Minor
39.0,g Minor
40.0,g Minor
41.0,g Minor
42.0,g Minor
43.0,g Minor
45.0,g Minor
46.0,g Minor
48.0,g Minor
49.0,g Minor
53.0,g Minor
57.0,g Minor
58.0,g Minor
59.0,g Minor
60.0,g Minor
61.0,g Minor
62.0,g Minor
65.0,g Minor
69.0,g Minor
72.0,g Minor
73.0,g Minor
74.0,g Minor
75.0,g Minor
76.0,g Minor
77.0,g Minor
81.0,g Minor
85.0,g Minor
86.0,g Minor
87.0,g Minor
88.0,g Minor
92.0,g Minor
95.0,g Minor
96.0,g Minor
99.0,g Minor
102.0,g Minor
103.0,c Minor
104.0,c Minor
105.0,c Minor
108.0,c Minor
110.0,c Minor
112.0,c Minor
