0.0,II,D# Major,0
6.0,V7,B Major,0.4950089070489544
7.0,V,B Major,0.3960071256391635
8.0,V,B Major,0.37125668028671577
9.0,V7,B Major,0.5238574099313975
10.0,V,B Major,0.419085927945118
11.0,V,B Major,0.39289305744854813
12.0,I,B Major,0.31594676601291466
13.0,I,B Major,0.4388149527957148
16.0,I,B Major,0.43881495279571464
17.0,I,B Major,0.43881495279571464
18.0,V7,B Major,0.5265779433548576
19.0,V,B Major,0.4212623546838862
20.0,V,B Major,0.3949334575161432
21.0,V7,B Major,0.5265779433548576
22.0,V,B Major,0.4212623546838862
23.0,V,B Major,0.3949334575161432
24.0,I,B Major,0.31594676601291466
25.0,I,B Major,0.5265779433548576
28.0,DimVII,g# Minor,0.3843215107307908
29.0,VI,B Major,0.5220049858764897
31.0,I,B Major,0.30824149221267744
32.0,VI,B Major,0.5137358203544623
33.0,I,d# Minor,0.4681346431546005
34.0,V,B Major,0.41493162357106966
35.0,I,d# Minor,0.4681346431546005
36.0,IV,B Major,0.44823664734392704
38.0,VI,B Major,0.348628503489721
39.0,I,B Major,0.43578562936215126
40.0,V,B Major,0.2614713776172908
41.0,VI,B Major,0.43578562936215126
42.0,V7,B Major,0.5229427552345816
43.0,V,B Major,0.4183542041876653
44.0,V,B Major,0.39220706642593617
45.0,V7,B Major,0.5229427552345816
46.0,V,B Major,0.4183542041876653
47.0,V,B Major,0.39220706642593617
48.0,I,B Major,0.31741143636162394
49.0,I,B Major,0.5290190606027064
51.0,I,B Major,0.3526793737351376
52.0,I,B Major,0.3526793737351376
53.0,I,B Major,0.3526793737351376
54.0,V7,B Major,0.528039450556886
55.0,V,B Major,0.4224315604455087
56.0,V,B Major,0.3960295879176644
57.0,V7,B Major,0.5253669860098469
58.0,V,B Major,0.3283543662561543
60.0,I,B Major,0.3496103160546068
64.0,VI,B Major,0.37259204383618355
67.0,V+,g# Minor,0.3829068720888116
68.0,V+,g# Minor,0.41880439134713765
69.0,VI,B Major,0.43499698552539834
70.0,VI,B Major,0.31071213251814167
71.0,V7,B Major,0.43499698552539834
72.0,I,B Major,0.49545386084992404
