chord,occurance
I,1431
V,550
IV,327
II,196
V+,276
V+7,307
III,109
VI,164
VII,84
V7,156
GerVI,36
DimVII7,105
I+,73
IV+,14
II7,21
♭VI,2
♭II,25
DimVII,29
bII,16
ItaVI,2
dimVII,1
DimVI,1
bVI,2
Dim7,8
