chord,occurance
I,1431
V,549
IV,327
II,196
V+,277
V+7,307
III,109
VI,164
VII,84
V7,156
GerVI,36
DimVII7,111
I+,73
IV+,14
II7,21
bVI,4
bII,41
DimVII,32
ItaVI,2
DimVI,1
