offset,0/1,0/2,0/3,0/4,0/5,0/6,0/7,0/8,0/9,0/10,0/11,1/2,1/3,1/4,1/5,1/6,1/7,1/8,1/9,1/10,1/11,2/3,2/4,2/5,2/6,2/7,2/8,2/9,2/10,2/11,3/4,3/5,3/6,3/7,3/8,3/9,3/10,3/11,4/5,4/6,4/7,4/8,4/9,4/10,4/11,5/6,5/7,5/8,5/9,5/10,5/11,6/7,6/8,6/9,6/10,6/11,7/8,7/9,7/10,7/11,8/9,8/10,8/11,9/10,9/11,10/11,total,tonic,is_major,numeral,chord_tonality
16.0,0.25,0.0,0.0,0.125,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.25,0.25,0.125,0.25,0.25,0.25,0.375,0.25,0.25,0.25,0.0,0.125,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.125,0.125,0.5,0.125,0.125,0.125,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.625,0.625,0.625,0.0,0.0,0.0,1.0,C#,False,I,Minor
18.0,0.20008,0.0,0.099538,0.012442,0.0,0.399558,0.0,0.183223,0.09994,0.0,0.0,0.20008,0.100542,0.187638,0.20008,0.199478,0.20008,0.016857,0.10014,0.20008,0.20008,0.099538,0.012442,0.0,0.399558,0.0,0.183223,0.09994,0.0,0.0,0.087096,0.099538,0.30002,0.099538,0.083685,0.000402,0.099538,0.099538,0.012442,0.387116,0.012442,0.170781,0.087498,0.012442,0.012442,0.399558,0.0,0.183223,0.09994,0.0,0.0,0.399558,0.216335,0.299618,0.399558,0.399558,0.183223,0.09994,0.0,0.0,0.083283,0.183223,0.183223,0.09994,0.09994,0.0,1.0,C#,False,IIdim,Diminished
20.0,0.5,0.0,0.0,0.125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.5,0.5,0.375,0.5,0.5,0.5,0.125,0.5,0.5,0.5,0.0,0.125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.125,0.125,0.125,0.25,0.125,0.125,0.125,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.375,0.375,0.375,0.0,0.0,0.0,1.0,C#,False,I,Minor
24.0,0.635375,0.0,0.0,0.0,0.125,0.0,0.0,0.125,0.041625,0.0,0.073,0.635375,0.635375,0.635375,0.510375,0.635375,0.635375,0.510375,0.59375,0.635375,0.562375,0.0,0.0,0.125,0.0,0.0,0.125,0.041625,0.0,0.073,0.0,0.125,0.0,0.0,0.125,0.041625,0.0,0.073,0.125,0.0,0.0,0.125,0.041625,0.0,0.073,0.125,0.125,0.0,0.083375,0.125,0.052,0.0,0.125,0.041625,0.0,0.073,0.125,0.041625,0.0,0.073,0.083375,0.125,0.052,0.041625,0.031375,0.073,1.0,C#,False,I+,Major
28.0,0.166667,0.0,0.166667,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.166667,0.0,0.166667,0.166667,0.0,0.166667,0.166667,0.333333,0.166667,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.166667,0.166667,0.0,0.166667,0.166667,0.333333,0.166667,0.166667,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.166667,0.0,0.0,0.5,0.0,0.0,0.166667,0.166667,0.333333,0.166667,0.166667,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.0,1.0,C#,False,IIdim,Diminished
32.0,0.125,0.125,0.25,0.125,0.125,0.0,0.125,0.25,0.125,0.125,0.125,0.0,0.375,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.375,0.375,0.25,0.375,0.0,0.375,0.375,0.375,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.125,0.0,0.375,0.0,0.0,0.0,0.125,0.25,0.125,0.125,0.125,0.375,0.0,0.0,0.0,0.375,0.375,0.375,0.0,0.0,0.0,1.0,C#,False,V+,Major
36.0,0.25,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.25,0.25,0.375,0.25,0.25,0.25,0.125,0.25,0.25,0.25,0.0,0.625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.625,0.625,0.625,0.5,0.625,0.625,0.625,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.125,0.125,0.125,0.0,0.0,0.0,1.0,C#,False,I,Minor
38.0,0.375,0.0,0.125,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.375,0.25,0.375,0.375,0.0,0.375,0.375,0.25,0.375,0.375,0.125,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.25,0.125,0.125,0.0,0.125,0.125,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.375,0.0,0.0,0.125,0.0,0.0,0.375,0.375,0.25,0.375,0.375,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.125,0.125,0.0,1.0,C#,False,IV,Minor
40.0,0.020431,0.109328,0.328422,0.020704,0.109328,0.109328,0.109328,0.109547,0.109328,0.081941,0.08216,0.088897,0.348853,0.000273,0.088897,0.088897,0.088897,0.129978,0.088897,0.06151,0.061729,0.43775,0.088624,0.0,0.0,0.0,0.218875,0.0,0.027387,0.027168,0.349126,0.43775,0.43775,0.43775,0.218875,0.43775,0.410363,0.410582,0.088624,0.088624,0.088624,0.130251,0.088624,0.061237,0.061456,0.0,0.0,0.218875,0.0,0.027387,0.027168,0.0,0.218875,0.0,0.027387,0.027168,0.218875,0.0,0.027387,0.027168,0.218875,0.191488,0.191707,0.027387,0.027168,0.000219,1.0,C#,False,V+,Major
48.0,0.222222,0.0,0.0,0.111111,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.222222,0.222222,0.111111,0.222222,0.222222,0.222222,0.444445,0.222222,0.222222,0.222222,0.0,0.111111,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.111111,0.111111,0.111111,0.555556,0.111111,0.111111,0.111111,0.0,0.0,0.666667,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.666667,0.666667,0.666667,0.0,0.0,0.0,1.0,C#,False,I,Minor
