offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total
9281/160,0.0,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.0,0.0,2.0
9441/160,0.5,0.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9601/160,0.0,1.002,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.002
9761/160,0.0,1.498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498,0.0,1.996
9921/160,0.0,0.0,0.0,0.0,0.0,0.998,0.0,0.0,0.0,0.0,1.002,0.0,2.0
10081/160,0.273,0.273,0.0,0.0,0.0,0.502,0.0,0.0,0.0,0.183,0.773,0.0,2.004
10241/160,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.454,0.773,0.0,2.0
10401/160,0.273,0.0,0.0,0.0,0.0,1.0,0.273,0.0,0.0,0.181,0.273,0.0,2.0
7921/120,0.0,0.0,0.0,0.0,0.333,1.167,0.0,0.0,0.0,0.0,0.5,0.0,2.0
8041/120,0.333,0.833,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0
8161/120,0.0,0.0,0.0,0.0,0.0,1.333,0.333,0.0,0.0,0.0,0.333,0.0,2.0
8281/120,0.0,0.333,0.0,0.333,0.333,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0
8401/120,0.333,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.833,0.333,0.0,2.0
8521/120,0.333,0.0,0.0,0.0,0.0,1.333,0.333,0.0,0.0,0.0,0.0,0.0,2.0
8641/120,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0
8761/120,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0
8881/120,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
9001/120,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,2.0
9121/120,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.0
9241/120,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
9361/120,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.5,0.0,2.0
9481/120,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,2.0
9601/120,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,2.0
9721/120,0.0,0.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2.0
9841/120,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0
9961/120,0.0,0.0,0.0,0.5,0.0,0.25,1.25,0.0,0.0,0.0,0.0,0.0,2.0
10081/120,0.5,0.0,0.0,0.0,0.0,1.004,0.0,0.5,0.0,0.0,0.0,0.0,2.004
10201/120,0.496,0.0,0.0,0.0,0.5,0.996,0.0,0.0,0.0,0.0,0.0,0.0,1.992
10321/120,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0
10441/120,0.504,0.0,0.0,0.0,0.429,1.075,0.004,0.0,0.0,0.0,0.0,0.0,2.012
10561/120,0.0,0.0,0.0,0.5,0.0,0.283,0.0,0.429,0.0,0.787,0.0,0.0,2.0
10681/120,0.929,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.142,0.429,0.0,2.0
7201/80,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0
7281/80,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.0
7361/80,0.0,0.0,0.0,0.5,0.0,0.0,0.833,0.0,0.0,0.0,0.667,0.0,2.0
7441/80,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7521/80,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0
7601/80,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0
7681/80,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,2.5
7761/80,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0
7841/80,0.0,0.0,0.0,0.5,0.0,0.0,0.833,0.0,0.0,0.0,0.667,0.0,2.0
7921/80,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
8001/80,0.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,2.0
8081/80,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,2.0
8161/80,0.0,1.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,2.5
8241/80,0.0,0.333,0.0,0.0,0.0,0.0,0.833,0.0,0.0,0.0,0.833,0.0,2.0
8321/80,0.0,0.333,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.667,0.0,2.0
8401/80,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0
