Mode,Param,Strict,Relaxed
KTC,NoCommon_3_.1,0.48828125,0.55078125
KTC,NoCommon_3_.2,0.435546875,0.521484375
KTC,NoCommon_4_.1,0.416015625,0.525390625
KTC,NoCommon_4_.2,0.396484375,0.482421875
KTC,ComplexCommon_4_.2,0.396484375,0.396484375
KTC,SimpleCommon_4_.2,0.396484375,0.396484375
KAC,NoCommon_4_.2,0.4375,0.4375
KAC,SimpleCommon_4_.2,0.47265625,0.47265625
