1,"(4, False)"
2,"(4, False)"
3,"(4, False)"
4,"(4, False)"
5,"(11, False)"
6,"(11, False)"
7,"(11, False)"
8,"(11, False)"
9,"(4, False)"
10,"(4, False)"
11,"(4, False)"
12,"(4, False)"
13,"(4, False)"
14,"(0, True)"
15,"(0, True)"
16,"(0, True)"
17,"(2, True)"
18,"(11, False)"
19,"(11, False)"
20,"(11, False)"
21,"(6, True)"
22,"(11, True)"
23,"(11, True)"
24,"(11, True)"
25,"(11, True)"
26,"(11, True)"
27,"(11, True)"
28,"(4, True)"
29,"(4, True)"
30,"(4, False)"
31,"(4, False)"
32,"(4, False)"
33,"(4, False)"
34,"(11, False)"
35,"(11, False)"
36,"(11, False)"
37,"(11, False)"
38,"(4, False)"
39,"(4, False)"
40,"(4, False)"
41,"(4, False)"
42,"(4, False)"
43,"(4, False)"
44,"(4, False)"
45,"(4, False)"
46,"(4, True)"
47,"(4, True)"
48,"(4, True)"
49,"(4, True)"
50,"(4, True)"
51,"(4, True)"
52,"(4, True)"
53,"(4, True)"
54,"(4, True)"
55,"(4, True)"
56,"(4, True)"
57,"(4, True)"
