offset,tonic,key
0.0,F#,M
33.0,C#,M
48.0,F#,M
72.0,B,M
90.0,G#,m
96.0,F#,M
132.0,B,M
158.0,C#,M
159.0,F#,M
168.0,B,M
186.0,G#,m
192.0,F#,M
