offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
75.5,0.0,0.0,0.0,0.444444,0.0,0.222222,0.0,0.222222,0.0,0.0,0.111111,0.0,E-,True,I,Major
77.0,0.0,0.0,0.166667,0.388889,0.0,0.111111,0.0,0.222222,0.0,0.0,0.111111,0.0,E-,True,III,Minor
78.5,0.25,0.055556,0.0,0.0,0.25,0.027778,0.0,0.25,0.027778,0.0,0.111111,0.027778,F,False,V+,Major
81.5,0.0,0.222222,0.0,0.0,0.111111,0.222222,0.0,0.0,0.0,0.0,0.444444,0.0,F,False,IV,Minor
83.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0.0,0.111111,0.333333,0.0,0.0,0.0,F,False,I,Minor
84.5,0.0,0.0,0.18888,0.0,0.011805,0.379284,0.0,0.129855,0.09444,0.0,0.18888,0.0,F,False,IV+,Major
86.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.444444,0.0,0.0,0.0,0.111111,C,False,V+7,Dominant seventh
87.5,0.222222,0.0,0.0,0.555556,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,C,False,I,Minor
89.0,0.444444,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,0.0,B-,True,DimVII7,Undefined
90.5,0.01389,0.055562,0.194355,0.120347,0.0,0.134237,0.0,0.009223,0.124903,0.01389,0.305478,0.027781,E-,True,V,Major
93.5,0.0,0.0,0.0625,0.5625,0.0,0.0,0.0,0.25,0.0,0.0,0.125,0.0,E-,True,I,Major
96.5,0.0,0.0,0.222222,0.0,0.0,0.444444,0.0,0.111111,0.0,0.0,0.222222,0.0,E-,True,V,Major
99.5,0.4375,0.0,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,0.125,0.0,0.0,B-,True,V,Major
102.5,0.111111,0.0,0.027778,0.486111,0.0,0.041667,0.0,0.0,0.222222,0.0,0.0,0.111111,E-,True,IV,Major
105.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.222222,0.0,0.0,0.277778,0.0,E-,True,I,Major
108.5,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,0.0,0.444444,0.0,F,False,DimVII7,Undefined
110.0,0.222222,0.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.222222,0.111111,0.0,F,False,V,Minor
111.5,0.090909,0.0,0.0,0.181818,0.0,0.454545,0.0,0.0,0.0,0.272727,0.0,0.0,F,False,I,Minor
113.0,0.0,0.0,0.454545,0.0,0.0,0.0,0.0,0.181818,0.0,0.0,0.363636,0.0,F,False,II,Undefined
114.5,0.181818,0.0,0.0,0.454545,0.0,0.0,0.0,0.363636,0.0,0.0,0.0,0.0,B-,True,II,Minor
116.0,0.166667,0.0,0.166667,0.166667,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,B-,True,V,Major
117.5,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,B-,True,I,Major
118.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,E,True,V,Major
118.5,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,E,True,I,Major
119.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,F,True,V,Major
119.5,0.333333,0.0,0.0,0.166667,0.0,0.333333,0.0,0.0,0.0,0.166667,0.0,0.0,F,True,I,Major
120.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.25,0.0,E-,True,V,Major
120.5,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.416667,0.0,0.041667,0.208333,0.0,E-,True,I,Major
122.0,0.0,0.055556,0.277778,0.111111,0.0,0.027778,0.0,0.083333,0.222222,0.0,0.166667,0.055556,E-,True,V,Major
123.5,0.0,0.0,0.0,0.444444,0.0,0.222222,0.0,0.222222,0.0,0.0,0.111111,0.0,E-,True,I,Major
125.0,0.0,0.0,0.166667,0.388889,0.0,0.111111,0.0,0.222222,0.0,0.0,0.111111,0.0,E-,True,III,Minor
126.5,0.25,0.055556,0.0,0.0,0.25,0.027778,0.0,0.25,0.027778,0.0,0.111111,0.027778,F,False,V+,Major
129.5,0.0,0.181818,0.0,0.0,0.090909,0.181818,0.0,0.090909,0.0,0.0,0.454545,0.0,F,False,IV,Minor
131.0,0.222222,0.0,0.0,0.0,0.0,0.333333,0.0,0.111111,0.333333,0.0,0.0,0.0,F,False,I,Minor
132.5,0.011399,0.0,0.182386,0.011399,0.011399,0.366244,0.0,0.136974,0.091193,0.0,0.182386,0.0,F,False,IV+,Major
134.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.444444,0.0,0.0,0.0,0.111111,F,False,V+,Major
135.5,0.222222,0.0,0.0,0.555556,0.0,0.0,0.0,0.222222,0.0,0.0,0.0,0.0,F,False,I,Minor
137.0,0.444444,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,0.0,B-,True,DimVII7,Undefined
138.5,0.052784,0.041671,0.180464,0.120347,0.0,0.120347,0.0,0.009223,0.122125,0.038893,0.28881,0.025003,E-,True,V,Major
141.5,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,E-,True,I,Major
144.5,0.0,0.0,0.0,0.5,0.0,0.1,0.0,0.0,0.2,0.0,0.0,0.2,E-,False,IV,Minor
147.5,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,0.555556,0.0,0.0,0.111111,0.0,E-,False,I+,Major
150.5,0.0,0.0,0.0,0.525,0.0,0.075,0.0,0.0,0.2,0.0,0.0,0.2,E-,False,IV+,Major
153.5,0.054054,0.0,0.067568,0.432432,0.0,0.013514,0.0,0.324324,0.0,0.0,0.108108,0.0,E-,False,I+,Major
156.5,0.0625,0.0,0.1875,0.125,0.0,0.125,0.0,0.0,0.1875,0.0625,0.25,0.0,E-,False,V+7,Dominant seventh
159.5,0.0,0.0,0.0625,0.5,0.0,0.0625,0.0,0.25,0.0,0.0,0.125,0.0,E-,False,I+,Major
161.0,0.15,0.0,0.05,0.35,0.0,0.25,0.0,0.1,0.0,0.1,0.0,0.0,B-,True,V7,Dominant seventh
162.5,0.0,0.0,0.111111,0.111111,0.0,0.125,0.0,0.069444,0.166667,0.083333,0.277778,0.055556,E-,True,V7,Dominant seventh
165.5,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.222222,0.0,0.0,0.111111,0.0,E-,True,I,Major
168.5,0.0,0.0,0.0,0.431909,0.0,0.068273,0.0,0.0,0.272909,0.0,0.0,0.227455,E-,False,IV,Minor
171.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.466667,0.0,0.0,0.133333,0.0,E-,False,I+,Major
174.5,0.0,0.0,0.0,0.321839,0.0,0.011494,0.0,0.022989,0.367816,0.0,0.022989,0.252874,E-,False,IV,Minor
177.5,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.3,0.0,0.0,0.1,0.0,E-,False,I+,Major
179.0,0.25,0.0,0.166667,0.333333,0.0,0.166667,0.0,0.0,0.0,0.083333,0.0,0.0,B-,True,V,Major
180.5,0.0,0.0,0.0,0.153846,0.0,0.076923,0.0,0.0,0.076923,0.153846,0.384615,0.153846,B-,True,I,Major
182.0,0.0,0.0,0.25,0.0,0.0,0.166667,0.0,0.333333,0.166667,0.0,0.0,0.083333,C,False,V+7,Dominant seventh
183.5,0.181818,0.0,0.0,0.636364,0.0,0.0,0.0,0.181818,0.0,0.0,0.0,0.0,C,False,I+,Major
185.0,0.285714,0.0,0.0,0.285714,0.0,0.357143,0.0,0.0,0.0,0.071429,0.0,0.0,B-,True,V,Major
186.5,0.053333,0.0,0.058333,0.216667,0.0,0.013333,0.0,0.136667,0.02,0.043333,0.335,0.123333,E-,True,V,Major
