offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
54.0,0.222222,0.0,0.0,0.111111,0.0,0.0,0.166667,0.0,0.388889,0.0,0.111111,0.0,1.0,D-,True,V,Major
55.0,0.0,0.222222,0.0,0.0,0.0,0.166667,0.0,0.0,0.277778,0.0,0.111111,0.222222,1.0,G-,True,V,Major
56.0,0.111111,0.111111,0.0,0.0,0.0,0.0,0.388889,0.0,0.0,0.0,0.277778,0.111111,1.0,G-,True,I,Major
57.0,0.0,0.388889,0.0,0.111111,0.0,0.222222,0.0,0.0,0.277778,0.0,0.0,0.0,1.0,G-,True,V,Major
58.0,0.0,0.055556,0.055556,0.25,0.055556,0.0,0.0,0.111111,0.194444,0.0,0.138889,0.138889,1.0,G-,True,II,Minor
60.0,0.0,0.0,0.0,0.277778,0.111111,0.111111,0.111111,0.0,0.0,0.0,0.0,0.388889,1.0,G-,True,IV,Major
61.0,0.166667,0.104167,0.0,0.083333,0.0,0.041667,0.229167,0.041667,0.145833,0.104167,0.083333,0.0,1.0,G-,True,III,Minor
64.0,0.0,0.125,0.125,0.0,0.0,0.09375,0.09375,0.0,0.0625,0.0625,0.375,0.0625,1.0,G-,True,I,Major
66.0,0.111111,0.0,0.0,0.305556,0.0,0.055556,0.25,0.055556,0.083333,0.083333,0.055556,0.0,1.0,G-,True,VI,Minor
68.0,0.057692,0.307692,0.057692,0.057692,0.0,0.038462,0.038462,0.0,0.173077,0.096154,0.038462,0.134615,1.0,G-,True,V,Major
72.0,0.0,0.36,0.0,0.04,0.0,0.04,0.34,0.0,0.06,0.0,0.08,0.08,1.0,G-,True,I,Major
75.0,0.0,0.1875,0.0,0.0,0.0,0.125,0.125,0.0,0.3125,0.0,0.125,0.125,1.0,G-,True,V,Major
76.0,0.0,0.3125,0.0,0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.1875,0.0,1.0,G-,True,I,Major
77.0,0.0,0.1875,0.0,0.0,0.0,0.125,0.125,0.0,0.1875,0.0,0.125,0.25,1.0,G-,True,V,Major
78.0,0.0,0.4375,0.0,0.125,0.0,0.0,0.3125,0.0,0.0,0.0,0.125,0.0,1.0,G-,True,I,Major
79.0,0.0,0.1875,0.0,0.0,0.0,0.125,0.125,0.0,0.3125,0.0,0.125,0.125,1.0,G-,True,V,Major
80.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.166667,0.0,1.0,G-,True,I,Major
81.0,0.0,0.1875,0.0,0.0,0.0,0.125,0.125,0.0,0.1875,0.0,0.125,0.25,1.0,G-,True,V,Major
82.0,0.0,0.4375,0.0,0.125,0.0,0.0,0.3125,0.0,0.0,0.0,0.125,0.0,1.0,G-,True,I,Major
83.0,0.0,0.1875,0.0,0.0,0.0,0.125,0.125,0.0,0.3125,0.0,0.125,0.125,1.0,G-,True,V,Major
84.0,0.0,0.3125,0.0,0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.1875,0.0,1.0,G-,True,I,Major
85.0,0.0,0.1875,0.0,0.0,0.0,0.125,0.125,0.0,0.1875,0.0,0.125,0.25,1.0,G-,True,V,Major
86.0,0.0,0.4375,0.0,0.125,0.0,0.0,0.3125,0.0,0.0,0.0,0.125,0.0,1.0,G-,True,I,Major
87.0,0.0,0.1875,0.0,0.0,0.0,0.125,0.125,0.0,0.3125,0.0,0.125,0.125,1.0,G-,True,V,Major
88.0,0.0,0.323944,0.0,0.056338,0.0,0.0,0.366197,0.0,0.0,0.0,0.197183,0.056338,1.0,G-,True,I,Major
99.5,0.0,0.3125,0.0,0.0625,0.0,0.0,0.375,0.0,0.0,0.0,0.1875,0.0625,1.0,G-,True,V,Major
