offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
158.347917,0.058761,0.0,0.0,0.058761,0.17646,0.0,0.117699,0.17646,0.0,0.117699,0.0,0.294159,1.0,E,False,I,Minor
160.347917,0.058761,0.0,0.0,0.0,0.058761,0.0,0.058761,0.0,0.0,0.176284,0.0,0.64708,1.0,E,False,V+7,Dominant seventh
162.347917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3335,0.1665,0.0,0.0,0.5,1.0,E,False,I+,Major
163.014583,0.08325,0.0,0.0,0.08325,0.1665,0.0,0.1665,0.1665,0.0,0.08325,0.0,0.24975,1.0,E,False,I,Minor
164.347917,0.058774,0.0,0.011755,0.246885,0.058809,0.0,0.258675,0.058809,0.0,0.141057,0.011755,0.152812,1.0,E,False,V+7,Dominant seventh
172.347917,0.041635,0.0,0.0,0.0,0.542011,0.0,0.0,0.249812,0.0,0.0,0.041635,0.124906,1.0,E,False,I,Minor
174.347917,0.0,0.0,0.0,0.0,0.458615,0.0,0.0,0.375094,0.0,0.0,0.083271,0.083396,1.0,G#,False,VIIdim7,Diminished seventh
176.347917,0.039966,0.0,0.0,0.0,0.094935,0.0,0.054969,0.410226,0.0,0.039966,0.0,0.360058,1.0,E,False,I,Minor
178.347917,0.0,0.0,0.0,0.103331,0.137878,0.0,0.172218,0.0,0.034444,0.172218,0.068887,0.310302,1.0,E,False,V+,Major
180.347917,0.0,0.023169,0.079402,0.0,0.314509,0.0,0.132377,0.0,0.238286,0.0,0.0,0.211898,1.0,E,True,I,Major
188.347917,0.0,0.277667,0.08325,0.02775,0.388833,0.08325,0.08325,0.0,0.0,0.0555,0.0,0.0,1.0,E,True,IV,Major
192.347917,0.149929,0.0,0.0,0.162454,0.212555,0.0,0.174979,0.0,0.075002,0.187505,0.0,0.037501,1.0,E,True,II,Minor
196.347917,0.026294,0.013147,0.078961,0.0,0.263098,0.0,0.124916,0.0,0.30925,0.039441,0.0,0.144656,1.0,E,True,I,Major
204.847917,0.033313,0.233293,0.0,0.033313,0.366647,0.0,0.066627,0.0,0.0,0.266607,0.0,0.0,1.0,E,True,II7,Minor seventh
208.847917,0.208326,0.0,0.0,0.229139,0.145822,0.0,0.041753,0.0,0.083318,0.208388,0.0,0.083318,1.0,E,False,IIdim,Diminished
212.847917,0.0,0.0,0.0,0.025623,0.307633,0.0,0.07687,0.0,0.25631,0.025623,0.0,0.307787,1.0,E,False,I+,Major
216.847917,0.018676,0.0,0.0,0.10272,0.36447,0.0,0.140129,0.0,0.130819,0.121453,0.0,0.121481,1.0,E,False,VIIdim7,Diminished seventh
