offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
127.0,0.022702,0.500068,0.068107,0.0,0.0,0.0,0.375102,0.0,0.0,0.034088,0.0,0.0,1.0,F#,False,I,Minor
130.0,0.022702,0.500068,0.068107,0.0,0.0,0.204391,0.0,0.0,0.204391,0.0,0.0,0.0,1.0,F#,False,V+,Major
133.0,0.022702,0.500068,0.068107,0.0,0.0,0.0,0.170303,0.0,0.0,0.238478,0.0,0.0,1.0,F#,False,I,Minor
136.0,0.043492,0.0,0.0,0.217201,0.0,0.0,0.195423,0.043427,0.478286,0.021714,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
139.0,0.0,0.276863,0.0,0.0,0.047279,0.0,0.0,0.05401,0.594842,0.027005,0.0,0.0,1.0,C#,False,I,Minor
142.0,0.243046,0.0,0.0,0.054091,0.0,0.0,0.027005,0.05401,0.594842,0.027005,0.0,0.0,1.0,C#,False,V+7,Dominant seventh
145.0,0.0,0.228955,0.0,0.0,0.076429,0.0,0.0,0.055509,0.611352,0.027755,0.0,0.0,1.0,C#,False,I,Minor
148.0,0.049952,0.550153,0.024976,0.0,0.0,0.091605,0.085354,0.0,0.099955,0.014576,0.0,0.083254,1.0,C#,False,I+,Major
157.0,0.024666,0.407392,0.012333,0.0,0.246991,0.0,0.101737,0.135736,0.0,0.033962,0.036999,0.0,1.0,C#,False,IV,Minor
163.0,0.0,0.0,0.0,0.0,0.389014,0.0,0.0,0.0,0.333333,0.0,0.0,0.277736,1.0,C#,False,III,Major
166.0,0.0,0.065141,0.0,0.151995,0.065141,0.0,0.195553,0.0,0.021714,0.195423,0.0,0.304317,1.0,C#,False,VIIdim,Diminished
169.0,0.0,0.0,0.083264,0.041674,0.236206,0.0,0.0,0.0,0.528088,0.0,0.0,0.111019,1.0,C#,False,III,Major
172.0,0.249813,0.0,0.0,0.362532,0.0,0.0,0.0,0.0,0.387581,0.0,0.0,0.0,1.0,A-,True,I,Major
178.0,0.109319,0.23439,0.0,0.375023,0.0,0.0,0.0,0.208263,0.0,0.0,0.07288,0.0,1.0,A-,True,V7,Dominant seventh
181.0,0.333,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.518556,0.0,0.0,0.0,1.0,A-,True,I,Major
184.0,0.0,0.333111,0.0,0.0,0.185111,0.0,0.0,0.0,0.148,0.333111,0.0,0.0,1.0,A,False,I+,Major
187.0,0.333111,0.0,0.0,0.259111,0.0,0.0,0.0,0.0,0.240667,0.166556,0.0,0.0,1.0,A,False,I,Minor
190.0,0.0,0.0,0.333111,0.0,0.0,0.185111,0.0,0.0,0.148,0.0,0.0,0.333111,1.0,B,False,I,Minor
193.0,0.0,0.0,0.0,0.444444,0.0,0.0,0.148,0.0,0.185111,0.0,0.055556,0.166556,1.0,B,False,I+,Major
196.0,0.0,0.0,0.333111,0.0,0.0,0.185111,0.0,0.0,0.148,0.0,0.0,0.333111,1.0,B,False,I,Minor
199.0,0.0,0.0,0.0,0.374703,0.0,0.0,0.166479,0.0,0.208224,0.0,0.062492,0.187352,1.0,B,False,I+,Major
202.0,0.0,0.333111,0.0,0.0,0.333111,0.0,0.0,0.185111,0.148,0.0,0.0,0.0,1.0,D-,False,I,Minor
205.0,0.055556,0.166556,0.0,0.0,0.0,0.444444,0.148,0.0,0.185111,0.0,0.0,0.0,1.0,D-,False,I+,Major
208.0,0.0,0.333111,0.0,0.0,0.333111,0.0,0.0,0.185111,0.148,0.0,0.0,0.0,1.0,D-,False,I,Minor
211.0,0.062492,0.187352,0.0,0.0,0.0,0.374703,0.0,0.0,0.374703,0.0,0.0,0.0,1.0,D-,False,I+,Major
214.0,0.227167,0.0,0.0,0.227167,0.0,0.0,0.227167,0.0,0.151475,0.166614,0.0,0.0,1.0,D-,False,VIIdim7,Diminished seventh
219.0,0.2,0.0,0.0,0.0,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.0,1.0,D-,False,V+7,Dominant seventh
220.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,1.0,D-,False,I,Minor
223.0,0.0,0.214286,0.0,0.0,0.0,0.0,0.571429,0.0,0.0,0.0,0.214286,0.0,1.0,D-,False,IV,Minor
226.0,0.037974,0.417711,0.0,0.0,0.0,0.227842,0.0,0.037974,0.227842,0.0,0.050657,0.0,1.0,D-,False,I,Minor
229.0,0.2,0.2,0.066667,0.066667,0.066667,0.0,0.2,0.0,0.066667,0.133333,0.0,0.0,1.0,D-,False,V+7,Dominant seventh
232.0,0.0,0.466667,0.0,0.0,0.0,0.266667,0.0,0.0,0.266667,0.0,0.0,0.0,1.0,D-,False,I,Minor
