offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
111.0,0.0,0.083333,0.0,0.333333,0.0,0.0,0.25,0.0,0.083333,0.083333,0.0,0.166667,E,True,V,Major
112.0,0.0,0.0,0.0,0.0,0.472222,0.0,0.083333,0.0,0.027778,0.055556,0.0,0.361111,E,True,I,Major
115.0,0.0,0.0,0.0,0.0,0.416667,0.0,0.083333,0.083333,0.0,0.0,0.0,0.416667,D,True,II,Minor
117.0,0.0,0.333333,0.0,0.0,0.25,0.0,0.083333,0.083333,0.0,0.25,0.0,0.0,D,True,V,Major
118.0,0.0,0.0,0.472222,0.0,0.083333,0.0,0.055556,0.027778,0.0,0.361111,0.0,0.0,D,True,I,Major
121.0,0.075,0.35,0.075,0.0,0.0,0.0,0.05,0.0,0.025,0.325,0.0,0.1,F#,False,I,Minor
124.0,0.0,0.428571,0.071429,0.0,0.0,0.047619,0.02381,0.0,0.333333,0.095238,0.0,0.0,F#,False,V+7,Dominant seventh
127.0,0.0,0.428571,0.071429,0.0,0.0,0.0,0.071429,0.0,0.0,0.333333,0.0,0.095238,F#,False,I,Minor
130.0,0.0,0.428571,0.071429,0.0,0.0,0.047619,0.02381,0.0,0.333333,0.095238,0.0,0.0,F#,False,V+7,Dominant seventh
133.0,0.428571,0.071429,0.0,0.0,0.0,0.047619,0.0,0.02381,0.333333,0.0,0.095238,0.0,F,False,I,Minor
136.0,0.428571,0.071429,0.0,0.0,0.047619,0.02381,0.0,0.333333,0.095238,0.0,0.0,0.0,F,False,V+7,Dominant seventh
139.0,0.428571,0.0,0.119048,0.0,0.107143,0.142857,0.0,0.190476,0.0,0.0,0.011905,0.0,F,True,V,Major
145.0,0.333333,0.0,0.055556,0.0,0.0,0.5,0.0,0.027778,0.0,0.083333,0.0,0.0,F,True,I,Major
148.0,0.375,0.0,0.041667,0.0,0.083333,0.208333,0.0,0.208333,0.0,0.0,0.083333,0.0,F,True,IV,Major
150.0,0.25,0.0,0.083333,0.0,0.083333,0.166667,0.0,0.333333,0.0,0.0,0.083333,0.0,F,True,V,Major
151.0,0.111111,0.0,0.277778,0.0,0.0,0.361111,0.0,0.027778,0.0,0.194444,0.0,0.027778,F,True,I,Major
154.0,0.416667,0.0,0.027778,0.0,0.083333,0.0,0.0,0.333333,0.0,0.055556,0.083333,0.0,F,True,V,Major
