offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.375,0.0,0.09375,0.0,0.15625,0.125,0.0,0.25,0.0,0.0,1.0,D,True,I,Major
16.0,0.0,0.053571,0.053571,0.0,0.25,0.0,0.0,0.0,0.0,0.625,0.0,0.017857,1.0,A,True,I,Major
23.0,0.0,0.076923,0.134615,0.076923,0.576923,0.0,0.0,0.0,0.057692,0.057692,0.0,0.019231,1.0,A,True,V7,Dominant seventh
36.0,0.0,0.09375,0.21875,0.0,0.3125,0.0,0.0,0.0,0.0,0.375,0.0,0.0,1.0,A,True,I,Major
40.0,0.0,0.0,0.375,0.0,0.09375,0.0,0.15625,0.125,0.0,0.25,0.0,0.0,1.0,D,True,I,Major
