offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,total,tonic,is_major,numeral,chord_tonality
72.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.25,0.0,1.0,F,False,VIIdim7,Diminished seventh
74.0,0.0,0.222222,0.0,0.0,0.0,0.518519,0.0,0.0,0.259259,0.0,0.0,0.0,1.0,D-,True,I,Major
75.0,0.0,0.0,0.0,0.222222,0.0,0.0,0.555556,0.0,0.0,0.0,0.222222,0.0,1.0,D-,True,II,Minor
76.0,0.016807,0.235294,0.0,0.016807,0.0,0.252101,0.016807,0.0,0.445378,0.0,0.016807,0.0,1.0,D-,True,I,Major
79.0,0.28125,0.03125,0.0,0.0625,0.0,0.03125,0.28125,0.0,0.28125,0.0,0.03125,0.0,1.0,D-,True,V7,Dominant seventh
80.0,0.0,0.5625,0.0,0.0,0.0,0.1875,0.0,0.0,0.25,0.0,0.0,0.0,1.0,D-,True,I,Major
81.0,0.222222,0.0,0.0,0.333333,0.0,0.0,0.222222,0.0,0.222222,0.0,0.0,0.0,1.0,D-,True,V7,Dominant seventh
82.0,0.0,0.555556,0.0,0.0,0.0,0.222222,0.0,0.0,0.222222,0.0,0.0,0.0,1.0,D-,True,I,Major
83.0,0.0,0.0,0.222222,0.0,0.0,0.333333,0.0,0.0,0.222222,0.0,0.222222,0.0,1.0,E-,False,V+7,Dominant seventh
84.0,0.0,0.0,0.0,0.555556,0.0,0.0,0.222222,0.0,0.0,0.0,0.222222,0.0,1.0,E-,False,I,Minor
85.0,0.0,0.111111,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.222222,0.0,1.0,A-,True,VIIdim7,Diminished seventh
86.0,0.0,0.111111,0.0,0.0,0.0,0.333333,0.0,0.0,0.555556,0.0,0.0,0.0,1.0,A-,True,I,Major
87.0,0.125,0.0,0.0,0.125,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,1.0,A-,True,V7,Dominant seventh
88.0,0.0,0.28125,0.0,0.09375,0.0,0.21875,0.0,0.0,0.40625,0.0,0.0,0.0,1.0,A-,True,I,Major
91.0,0.178571,0.035714,0.0,0.071429,0.0,0.071429,0.142857,0.0,0.5,0.0,0.0,0.0,1.0,A-,True,V7,Dominant seventh
92.0,0.0,0.323529,0.0,0.088235,0.0,0.205882,0.0,0.0,0.382353,0.0,0.0,0.0,1.0,A-,True,I,Major
95.0,0.02907,0.348837,0.0,0.156977,0.0,0.209302,0.023256,0.0,0.232558,0.0,0.0,0.0,1.0,A-,True,V7,Dominant seventh
