offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,F,False,I,Minor
1.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.25,0.0,F,False,V+,Major
2.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,0.0,F,False,I,Minor
3.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,0.0,F,False,DimVII7,Undefined
4.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.4,C,True,DimVII7,Undefined
6.0,0.393939,0.0,0.0,0.0,0.272727,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,C,True,I,Major
13.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.2,C,True,V,Major
14.0,0.466667,0.0,0.033333,0.0,0.2,0.0,0.0,0.166667,0.066667,0.0,0.0,0.066667,C,True,I,Major
21.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,D-,True,VII,Undefined
23.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.0,E-,True,V7,Dominant seventh
25.0,0.0,0.0,0.0,0.666667,0.0,0.0,0.0,0.111111,0.0,0.0,0.222222,0.0,E-,True,I,Major
27.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,E-,True,IV,Major
28.0,0.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,A-,True,II,Minor
29.0,0.0,0.2,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,A-,True,V,Major
30.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.0,A-,True,I,Major
34.0,0.0,0.25,0.0,0.25,0.0,0.125,0.0,0.125,0.0,0.0,0.25,0.0,A-,True,V,Major
36.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,A-,True,I,Major
38.0,0.0,0.166667,0.0,0.166667,0.0,0.083333,0.0,0.25,0.083333,0.0,0.25,0.0,A-,True,V,Major
40.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.0,A-,True,I,Major
42.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,A-,True,V,Major
43.0,0.25,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.0,A-,True,I,Major
47.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,F,False,V+,Major
48.0,0.0,0.0,0.0,0.0,0.0,0.833333,0.0,0.0,0.166667,0.0,0.0,0.0,F,False,I,Minor
50.0,0.25,0.0,0.125,0.0,0.125,0.0,0.0,0.25,0.0,0.0,0.25,0.0,F,False,V+,Major
52.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,F,False,I,Minor
54.0,0.166667,0.0,0.083333,0.0,0.25,0.083333,0.0,0.25,0.0,0.0,0.166667,0.0,F,False,V+,Major
56.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,F,False,I,Minor
58.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.375,0.375,0.0,0.125,0.0,F,False,V,Minor
60.0,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.125,0.125,0.0,0.25,0.25,F,False,DimVII7,Undefined
62.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,F,False,V,Minor
64.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,F,False,I,Minor
66.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.333333,0.0,F,False,II,Undefined
68.0,0.333333,0.0,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,F,False,I,Minor
69.0,0.333333,0.0,0.0,0.0,0.333333,0.0,0.0,0.333333,0.0,0.0,0.0,0.0,F,False,V+7,Dominant seventh
70.0,0.0,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,0.0,0.0,F,False,VI,Major
71.0,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.25,0.0,F,False,IV,Minor
72.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.0,0.0,F,False,I,Minor
73.0,0.6,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,F,False,V+,Major
74.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,F,False,I,Minor
75.0,0.5,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,F,False,V+,Major
77.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.5,C,True,V,Major
78.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,C,True,IV,Major
80.0,0.131579,0.131579,0.026316,0.131579,0.0,0.210526,0.078947,0.026316,0.184211,0.0,0.052632,0.026316,D-,True,I,Major
92.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.166667,0.0,0.333333,0.0,D-,True,V,Major
94.0,0.06,0.16,0.0,0.06,0.0,0.36,0.04,0.02,0.18,0.02,0.04,0.06,D-,True,I,Major
110.0,0.03125,0.1875,0.0,0.0625,0.0,0.0625,0.1875,0.0,0.0625,0.0,0.34375,0.0625,G-,True,I,Major
120.0,0.0,0.111111,0.0,0.111111,0.055556,0.277778,0.055556,0.055556,0.166667,0.0,0.055556,0.111111,G-,True,V,Major
126.0,0.029412,0.176471,0.0,0.058824,0.0,0.058824,0.176471,0.029412,0.058824,0.0,0.352941,0.058824,G-,True,I,Major
137.0,0.0,0.0,0.25,0.0,0.0,0.375,0.0,0.0,0.25,0.0,0.125,0.0,E-,False,V+,Major
139.0,0.0,0.0,0.166667,0.166667,0.0,0.0,0.166667,0.0,0.166667,0.0,0.333333,0.0,E-,False,I,Minor
141.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,E-,False,V+,Major
142.0,0.0,0.0,0.0625,0.3125,0.0,0.0625,0.5625,0.0,0.0,0.0,0.0,0.0,E-,False,I,Minor
147.0,0.285714,0.0,0.0,0.142857,0.0,0.142857,0.285714,0.0,0.142857,0.0,0.0,0.0,D-,True,V,Major
149.0,0.05,0.25,0.025,0.05,0.0,0.275,0.075,0.025,0.2,0.0,0.05,0.0,D-,True,I,Major
159.0,0.3,0.1,0.0,0.3,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.1,D-,True,V,Major
162.0,0.333333,0.0,0.0,0.0,0.0,0.0,0.166667,0.0,0.166667,0.0,0.333333,0.0,D-,True,IV,Major
