offset,c,c#,d,d#,e,f,f#,g,g#,a,a#,b,tonic,is_major,numeral,chord_tonality
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,0.166667,0.166667,0.0,G,False,I,Minor
3.0,0.0,0.0,0.333333,0.0,0.0,0.5,0.0,0.0,0.0,0.166667,0.0,0.0,G,False,V,Minor
6.0,0.083333,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.083333,0.083333,0.0,G,False,VI,Major
9.0,0.083333,0.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.083333,0.083333,0.0,G,False,V,Minor
12.0,0.0,0.0,0.0,0.25,0.0,0.083333,0.0,0.333333,0.0,0.0,0.333333,0.0,G,False,VI,Major
14.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,G,False,VII,Major
15.0,0.0,0.0,0.375,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,G,False,III,Major
17.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.0,G,False,IV,Minor
18.0,0.185185,0.0,0.148148,0.0,0.0,0.0,0.074074,0.074074,0.0,0.333333,0.185185,0.0,G,False,V+,Major
24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.634921,0.0,0.15873,0.206349,0.0,G,False,I,Minor
27.0,0.0,0.0,0.333333,0.0,0.0,0.5,0.0,0.0,0.0,0.166667,0.0,0.0,G,False,V,Minor
30.0,0.083333,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.083333,0.083333,0.0,G,False,VI,Major
33.0,0.035398,0.0,0.495575,0.044248,0.0,0.106195,0.0,0.106195,0.0,0.035398,0.0,0.176991,G,False,I+,Major
39.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,G,False,IV,Minor
40.0,0.125,0.0,0.125,0.125,0.0,0.375,0.0,0.0,0.0,0.25,0.0,0.0,G,False,VII,Major
42.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,G,False,I,Minor
43.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,G,False,VI,Major
44.0,0.285714,0.0,0.114286,0.0,0.0,0.285714,0.0,0.0,0.0,0.285714,0.028571,0.0,B-,True,V,Major
45.0,0.027778,0.0,0.25,0.0,0.027778,0.166667,0.0,0.0,0.0,0.0,0.527778,0.0,B-,True,I,Major
51.0,0.0,0.0,0.0,0.0,0.0,0.333333,0.0,0.333333,0.0,0.333333,0.0,0.0,B-,True,V,Major
54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,B-,True,VI,Minor
55.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.125,0.125,0.0,F,True,V,Major
57.0,0.045455,0.0,0.045455,0.0,0.0,0.409091,0.0,0.181818,0.0,0.272727,0.045455,0.0,F,True,I,Major
63.0,0.166667,0.0,0.166667,0.333333,0.0,0.166667,0.0,0.166667,0.0,0.0,0.0,0.0,B-,True,V7,Dominant seventh
66.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.0,B-,True,I,Major
68.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,B-,True,V,Major
69.0,0.166667,0.0,0.166667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666667,0.0,B-,True,I,Major
72.0,0.055556,0.0,0.5,0.0,0.0,0.0,0.0,0.111111,0.0,0.0,0.0,0.333333,G,False,I+,Major
75.0,0.5,0.0,0.083333,0.25,0.0,0.0,0.0,0.166667,0.0,0.0,0.0,0.0,G,False,IV,Minor
78.0,0.083333,0.0,0.083333,0.0,0.0,0.0,0.083333,0.333333,0.0,0.166667,0.25,0.0,G,False,I,Minor
81.0,0.0,0.0,0.35,0.0,0.1,0.0,0.1,0.1,0.0,0.3,0.05,0.0,G,False,V+,Major
87.0,0.333333,0.0,0.166667,0.166667,0.0,0.0,0.0,0.0,0.0,0.166667,0.166667,0.0,G,False,IV,Minor
90.0,0.082192,0.0,0.232877,0.0,0.0,0.0,0.054795,0.383562,0.0,0.0,0.246575,0.0,G,False,V+,Major
