offset,tonic,key,numeral
0.0,G,M,I
12.0,G,M,II7
21.0,G,M,V7
24.0,G,M,I
36.0,B,m,VIIdim7
39.0,B,m,V+7
42.0,B,m,I
45.0,B,m,V+7
48.0,B,m,I
54.0,D,M,IV
57.0,D,M,VIIdim7
60.0,D,M,I
63.0,G,M,V7
66.0,C,M,IV
69.0,C,M,VIIdim7
72.0,C,M,I
75.0,F,M,V7
78.0,F,M,VI
81.0,F,M,III
84.0,A,m,IV+
87.0,A,m,I
90.0,D,m,I
93.0,D,m,V+
96.0,D,m,I
99.0,G,M,V7
102.0,G,M,I
108.0,G,M,II7
117.0,G,M,V7
120.0,G,M,I
126.0,G,M,II
129.0,G,M,V7
132.0,G,M,I
135.0,G,M,II
138.0,G,M,I
144.0,G,M,VI
150.0,G,M,I
