offset,tonic,key,numeral
0.0,G,m,I
4.5,G,m,IIhdim7
6.0,G,m,I
7.5,G,m,VIIdim
9.0,G,m,III
10.5,G,m,IV
12.0,G,m,I
15.0,G,m,V+7
18.0,G,m,I
21.0,G,m,V+7
24.0,G,m,I
27.0,G,m,IV
30.0,G,m,I
33.0,G,m,V+7
36.0,G,m,I
40.5,D,m,VIIdim7
42.0,D,m,I
45.0,D,m,VIIdim7
46.5,D,m,V
48.0,D,m,I
51.0,C,m,V+7
54.0,C,m,I
55.5,C,m,VIIdim7
57.0,C,m,I
58.5,C,m,VIIdim7
60.0,C,m,I
63.0,G,m,VIIdim
69.0,G,m,I
70.5,G,m,GerVI
72.0,G,m,V+
75.0,G,m,I
82.5,G,m,IIhdim7
84.0,G,m,V+
86.5,G,m,I
91.5,G,m,I+
93.0,G,m,IV
96.0,G,m,I
98.5,G,m,V+7
99.0,G,m,I
102.0,G,m,V+7
105.0,G,m,I
109.5,G,m,V
111.0,G,m,I
118.5,G,m,VIIdim
120.0,G,m,III
121.5,G,m,IV
123.0,G,m,I
126.0,G,m,V+7
129.0,G,m,I
