Score,DHD,CSR on Key,CSR on Chord (strict),CSR on Chord (triad),CSR on Chord (jazz),KeyThenChordMode,DTRFModeSeg,DTRFModeIden
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,0,0,0
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,0,0,1
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,0,2,0
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,0,2,1
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,4,0,0
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,4,0,1
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,4,2,0
anonymous_Twinkle_Twinkle,0.96875,0.958333,0.770833,0.958333,0.78125,4,2,1
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,0,0,0
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,0,0,1
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,0,2,0
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,0,2,1
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,4,0,0
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,4,0,1
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,4,2,0
Beethoven_L.V._Sonata_in_A-Flat_Major_(Op.110_No.31)_2nd_Movement,0.971251,0.721057,0.438228,0.453768,0.556333,4,2,1
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,0,0,0
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,0,0,1
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,0,2,0
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,0,2,1
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,4,0,0
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,4,0,1
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,4,2,0
"Chopin_F._Etude_in_F_Minor,_Op.10_No.9",0.976801,0.643468,0.262515,0.267399,0.393162,4,2,1
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.56813,0.26139,0.2871,0.461564,0,0,0
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.56813,0.26139,0.2871,0.461564,0,0,1
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.56813,0.26139,0.2871,0.461564,0,2,0
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.56813,0.26139,0.2871,0.461564,0,2,1
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.56813,0.26139,0.2871,0.461564,4,0,0
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.56813,0.26139,0.2871,0.461564,4,0,1
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.56813,0.26139,0.2871,0.461564,4,2,0
"Chopin_F._Nocturne_in_F_Minor,_Op.55_No.1",0.958374,0.56813,0.26139,0.2871,0.461564,4,2,1
"Chopin_F._Prelude_in_D-Flat_Major,_Op.28_No.15",0.97472,0.671395,0.416436,0.440311,0.639742,0,0,0
"Chopin_F._Prelude_in_D-Flat_Major,_Op.28_No.15",0.97472,0.671395,0.416436,0.440311,0.639742,0,0,1
"Chopin_F._Prelude_in_D-Flat_Major,_Op.28_No.15",0.97472,0.671395,0.416436,0.440311,0.639742,0,2,0
"Chopin_F._Prelude_in_D-Flat_Major,_Op.28_No.15",0.97472,0.671395,0.416436,0.440311,0.639742,0,2,1
"Chopin_F._Prelude_in_D-Flat_Major,_Op.28_No.15",0.97472,0.671395,0.416436,0.440311,0.639742,4,0,0
"Chopin_F._Prelude_in_D-Flat_Major,_Op.28_No.15",0.97472,0.671395,0.416436,0.440311,0.639742,4,0,1
"Chopin_F._Prelude_in_D-Flat_Major,_Op.28_No.15",0.97472,0.671395,0.416436,0.440311,0.639742,4,2,0
"Chopin_F._Prelude_in_D-Flat_Major,_Op.28_No.15",0.97472,0.671395,0.416436,0.440311,0.639742,4,2,1
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,0,0,0
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,0,0,1
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,0,2,0
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,0,2,1
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,4,0,0
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,4,0,1
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,4,2,0
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,4,2,1
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,0,0,0
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,0,0,1
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,0,2,0
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,0,2,1
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,4,0,0
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,4,0,1
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,4,2,0
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,4,2,1
Schubert_D911-24,0.951613,0.993258,0.455651,0.47178,0.509414,0,0,0
Schubert_D911-24,0.951613,1.069903,0.091398,0.107527,0.145161,0,0,1
Schubert_D911-24,0.951613,0.993258,0.455651,0.47178,0.509414,0,2,0
Schubert_D911-24,0.951613,1.069903,0.091398,0.107527,0.145161,0,2,1
Schubert_D911-24,0.951613,0.993258,0.455651,0.47178,0.509414,4,0,0
Schubert_D911-24,0.951613,1.069903,0.091398,0.107527,0.145161,4,0,1
Schubert_D911-24,0.951613,0.993258,0.455651,0.47178,0.509414,4,2,0
Schubert_D911-24,0.951613,1.069903,0.091398,0.107527,0.145161,4,2,1
