Score,DHD,CSR on Key,CSR on Chord (strict),CSR on Chord (triad),CSR on Chord (jazz),KeyThenChordMode,DTRFModeSeg,DTRFModeIden
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,False,True,True
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,True,False,False
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,True,False,True
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,True,True,False
Mendelsshon_F._Songs_Without_Words_(Op._19_No._6),0.927536,0.608696,0.047101,0.108696,0.076087,True,True,True
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,False,False,False
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,False,False,True
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,False,True,False
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,False,True,True
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,True,False,False
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,True,False,True
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,True,True,False
Schubert_D911-16,0.939508,0.498224,0.165474,0.183268,0.225987,True,True,True
Schubert_D911-24,0.951613,0.993258,0.455651,0.47178,0.509414,False,False,False
Schubert_D911-24,0.951613,1.069903,0.091398,0.107527,0.145161,False,False,True
Schubert_D911-24,0.951613,0.993258,0.455651,0.47178,0.509414,False,True,False
Schubert_D911-24,0.951613,1.069903,0.091398,0.107527,0.145161,False,True,True
Schubert_D911-24,0.951613,0.993258,0.455651,0.47178,0.509414,True,False,False
Schubert_D911-24,0.951613,1.069903,0.091398,0.107527,0.145161,True,False,True
Schubert_D911-24,0.951613,0.993258,0.455651,0.47178,0.509414,True,True,False
Schubert_D911-24,0.951613,1.069903,0.091398,0.107527,0.145161,True,True,True
