offset,tonic,key,numeral
0.0,Gb,M,I
1.0,Gb,M,V
2.0,Gb,M,VI
3.0,Gb,M,III
4.0,Gb,M,IV
5.0,Gb,M,I
6.0,Db,M,V
7.0,Gb,M,V
8.0,Gb,M,I
9.0,Gb,M,V
10.0,Gb,M,VI
11.0,Gb,M,III
12.0,Gb,M,IV
13.0,Gb,M,I
14.0,Db,M,V
14.5,Gb,M,V
15.0,Gb,M,I
16.0,Gb,M,V
17.0,Db,M,V
19.0,Db,M,I
21.0,Db,M,I
22.0,Db,M,V
23.0,Db,M,I
25.0,Db,M,V
27.0,Db,M,I
28.0,Db,M,II
30.0,Db,M,V
31.0,Db,M,I
32.0,Gb,M,I
33.0,Gb,M,V
34.0,Gb,M,II
36.0,Db,M,V
38.0,Db,M,I
40.0,Gb,M,I
41.0,Gb,M,V
42.0,Gb,M,II
44.0,Db,M,DimVII7
45.0,Db,M,V
46.0,Gb,M,V
48.0,Gb,M,I
49.0,Gb,M,V
50.0,Gb,M,VI
51.0,Gb,M,III
52.0,Gb,M,IV
53.0,Gb,M,I
54.0,Db,M,V
55.0,Gb,M,V
56.0,Gb,M,I
57.0,Gb,M,V
58.0,Gb,M,II
60.0,Gb,M,IV
61.0,Gb,M,III
64.0,Gb,M,I
66.0,Gb,M,VI
68.0,Gb,M,V
72.0,Gb,M,I
75.0,Gb,M,V
76.0,Gb,M,I
77.0,Gb,M,V
78.0,Gb,M,I
79.0,Gb,M,V
80.0,Gb,M,I
81.0,Gb,M,V
82.0,Gb,M,I
83.0,Gb,M,V
84.0,Gb,M,I
85.0,Gb,M,V
86.0,Gb,M,I
87.0,Gb,M,V
88.0,Gb,M,I
99.5,Gb,M,V
100.0,Gb,M,I
