offset,tonic,key,numeral
0.0,C,m,I
1.0,C,m,IV
2.0,C,m,V+7
3.0,C,m,I
4.0,Ab,M,I
5.0,Ab,M,IV
6.0,Ab,M,V
7.0,Ab,M,I
8.0,C,m,V+
9.0,C,m,I+
10.0,C,m,IV
11.0,C,m,I+
12.0,G,M,V
13.0,G,M,I
14.0,G,M,V
15.0,G,M,I
16.0,C,m,I
17.0,C,m,VI
18.0,C,m,VIIdim7
19.0,C,m,V
20.0,G,m,IIdim7
21.0,G,m,V+
22.0,G,m,I+
23.0,C,m,V+7
24.0,C,m,I
25.0,C,m,IV
26.0,C,m,V+7
27.0,C,m,I
28.0,C,m,VI
29.0,C,m,bII
30.0,C,m,V+
31.0,C,m,I
32.0,C,m,I
33.0,C,m,IV
34.0,C,m,VIIdim7
35.0,C,m,V
36.0,G,m,IIdim
37.0,G,m,V+
38.0,G,m,I+
39.0,C,m,V+7
40.0,C,m,I
41.0,C,m,IV
42.0,C,m,V+7
43.0,C,m,I
44.0,C,m,VI
45.0,C,m,bII
46.0,C,m,V+
47.0,C,m,I
