offset,tonic,key,chord
0.0,B,m,I
12.0,B,m,VI
15.0,F#,m,II
16.0,F#,m,V+
17.0,B,m,DimVII7
17.5,B,m,I
18.0,B,m,DimVII7
18.5,B,m,VI
19.0,B,m,DimVII7
19.5,B,m,V+
20.0,B,m,I
21.0,B,m,DimVII7
22.0,B,m,I
22.5,B,m,V+
24.0,B,m,I
30.0,B,m,VI
32.0,B,m,IV
32.5,C,M,V
33.0,C,M,I
42.0,B,m,DimVII7
43.0,B,m,V+
44.0,B,m,I
45.0,B,m,DimVII7
46.5,B,m,V+
47.0,B,m,VI
49.0,B,m,V+7
52.0,B,m,VI
54.0,B,m,II7
55.5,B,m,V+
56.0,B,m,I
57.0,B,m,II7
58.5,B,m,V+
59.0,B,m,VI
61.0,B,m,V+7
63.0,B,m,I
65.0,B,m,III
66.0,B,m,I
