offset,tonic,key,numeral
0.0,G,M,I
2.0,G,M,II
3.5,G,M,V7
5.0,G,M,I
8.0,G,M,II
9.5,G,M,V7
11.0,G,M,I
14.0,G,M,V7
17.0,G,M,I
20.0,G,M,V7
23.0,G,M,I
26.0,G,M,V7
29.0,G,M,I
32.0,G,M,V7
35.0,G,M,I
38.0,G,M,V7
41.0,G,M,I
44.0,G,M,V7
47.0,G,M,I
48.5,E,m,I
50.0,E,m,IIdim
51.5,E,m,V
53.0,E,m,I
56.0,E,m,IIdim
57.5,E,m,V
59.0,E,m,I
60.5,G,M,I
62.0,G,M,II
63.5,G,M,V7
65.0,G,M,I
68.0,G,M,II
69.5,G,M,V7
71.0,G,M,I
74.0,G,M,V7
77.0,G,M,I
80.0,G,M,V7
83.0,G,M,I
