offset,tonic,key,numeral
1.0,A,M,V
7.0,A,M,I
13.0,A,M,V7
19.0,A,M,I
25.0,A,M,III
26.0,A,M,V7
31.0,A,M,I
34.0,B,m,V+
38.0,B,m,I
40.0,A,M,V
43.0,A,M,I
