offset,tonic,key
0.0,E,m
22.0,B,m
28.0,B,m
33.0,E,m
60.0,D,m
64.0,E,m
67.0,B,m
104.0,E,M
139.0,B,m
69257/480,B,m
71207/480,E,m
86567/480,E,M
