offset,tonic,key
0.0,D♭,M
5441/160,G♭,M
6721/160,A♭,m
8641/160,Bb,m
11841/160,D♭,M
12001/160,D♭,M
8641/80,C#,m
13121/80,G#,m
13441/80,C#,m
18241/80,G#,m
18561/80,C#,m
23801/80,D♭,M
