offset,tonic,key
0.0,F,M
26.25,G,M
32.0,F,M
32.25,C,M
45.25,F,M
48.25,A,M
59.0,D,m
68.25,C,M
76.25,A,m
82.25,D,m
94.0,G,m
112.25,F,m
118.25,D♭,M
168.25,C,m
173.0,F,M
203.25,B♭,M
209.25,F,M
232.75,B♭,M
250.75,F,M
273.25,B♭,M
278.75,G,m
290.75,B♭,M
293.75,F,M
295.75,C,M
297.75,G,M
299.75,C,m
304.75,B♭,M
348.75,F,M
352.75,F,m
372.75,F,M
