offset,tonic,key
4.0,F,m
6469/96,Ab,M
7237/96,C,m
7717/96,F,m
12613/96,Ab,M
13381/96,C,m
13957/96,F,m
33183/160,C,m
35743/160,G,m
36543/160,F,m
42943/160,F,m
45983/160,A,m
46303/160,F,m
54783/160,B♭,m
56383/160,F,M
