offset,tonic,key
0.375,B,m
19.375,F#,m
21.375,B,m
33.375,F,m
38.375,F#,m
48.375,G,m
49.375,F#,m
50.375,F,m
51.375,E,m
52.375,F#,m
56.375,G,m
57.375,F#,m
58.375,E,m
59.375,G,m
60.375,F#,m
72.375,E,m
86.375,F#,m
94.375,B,m
106.875,E,m
107.875,B,m
