offset,tonic,key
0.0,C,m
29.0,F,m
31.0,C,m
88.0,Ab,M
118.0,G,M
124.0,C,m
144.0,G,m
152.0,C,m
180.0,D,m
183.0,C,m
213.0,F,m
215.0,C,m
236.0,F,m
244.0,C,m
252.0,F,m
262.0,C,m
