offset,tonic,key
7.0,B,M
37.0,E,M
40.0,B,M
46.0,G#,m
48.0,C#,m
27841/480,F#,M
29761/480,C#,m
34081/480,G#,m
42721/480,D#,m
19103/160,B,M
23903/160,Ab,M
29343/160,F,m
30303/160,G,m
31903/160,A,m
32863/160,F,M
33203/160,Bb,M
34163/160,A,M
34483/160,Ab,M
39283/160,C,m
39923/160,Ab,M
41843/160,Db,M
43283/160,Eb,M
6719/24,B,M
36761/120,G,M
311.40625,F,M
312.40625,G,M
313.40625,B,M
324.40625,G#,M
325.40625,F#,m
326.40625,E,M
328.40625,C#,M
329.40625,B,M
350.40625,E,m
358.40625,B,M
