offset,key
0.0,D Major
1.0,D Major
2.0,D Major
3.0,D Major
4.0,D Major
7.0,D Major
9.0,D Major
10.0,D Major
11.0,D Major
12.0,D Major
15.0,D Major
22.0,A Major
23.0,A Major
26.0,A Major
27.0,A Major
29.0,A Major
31.0,A Major
32.0,A Major
34.0,A Major
35.0,A Major
41.0,D Major
42.0,D Major
43.0,D Major
44.0,D Major
47.0,D Major
49.0,D Major
50.0,D Major
51.0,D Major
52.0,D Major
