offset,key
0.0,A- Major
6.0,D- Major
7.0,D- Major
8.0,D- Major
9.0,A- Major
21.0,c Minor
23.0,c Minor
24.0,c Minor
30.0,A- Major
31.0,A- Major
33.0,A- Major
36.0,D- Major
37.0,D- Major
39.0,D- Major
42.0,A- Major
43.0,A- Major
45.0,A- Major
46.0,A- Major
47.0,A- Major
48.0,A- Major
54.0,A- Major
55.0,A- Major
56.0,A- Major
57.0,A- Major
67.0,A- Major
69.0,A- Major
72.0,A- Major
75.0,A- Major
78.0,D- Major
79.0,D- Major
81.0,D- Major
84.0,A- Major
85.0,A- Major
87.0,A- Major
88.0,A- Major
89.0,A- Major
90.0,A- Major
96.0,A- Major
97.0,A- Major
98.0,A- Major
99.0,A- Major
109.0,A- Major
111.0,A- Major
