offset,key
0.0,B- Major
4.0,B- Major
5.0,B- Major
6.0,B- Major
7.0,B- Major
8.0,B- Major
12.0,B- Major
13.0,B- Major
14.0,B- Major
15.0,B- Major
16.0,B- Major
20.0,g Minor
24.0,g Minor
28.0,g Minor
31.0,g Minor
32.0,g Minor
33.0,g Minor
35.0,g Minor
36.0,g Minor
40.0,F Major
41.0,F Major
43.0,F Major
44.0,g Minor
48.0,g Minor
49.0,g Minor
50.0,g Minor
51.0,g Minor
52.0,g Minor
53.0,g Minor
54.0,g Minor
55.0,g Minor
56.0,D Major
57.0,D Major
59.0,D Major
60.0,c Minor
61.0,c Minor
62.0,c Minor
63.0,c Minor
64.0,c Minor
66.0,c Minor
67.0,c Minor
68.0,c Minor
69.0,c Minor
71.0,c Minor
72.0,c Minor
74.0,c Minor
75.0,c Minor
76.0,c Minor
77.0,c Minor
78.0,c Minor
80.0,c Minor
81.0,c Minor
82.0,c Minor
83.0,c Minor
84.0,c Minor
85.0,c Minor
86.0,c Minor
87.0,c Minor
88.0,c Minor
89.0,c Minor
90.0,c Minor
92.0,c Minor
93.0,c Minor
94.0,c Minor
96.0,c Minor
97.0,c Minor
98.0,c Minor
99.0,c Minor
100.0,c Minor
101.0,c Minor
102.0,c Minor
103.0,c Minor
104.0,c Minor
105.0,c Minor
106.0,c Minor
107.0,c Minor
108.0,c Minor
109.0,c Minor
110.0,c Minor
111.0,c Minor
112.0,c Minor
116.0,c Minor
117.0,c Minor
118.0,c Minor
119.0,c Minor
120.0,B- Major
124.0,c Minor
125.0,c Minor
126.0,c Minor
127.0,c Minor
129.0,A- Major
132.0,A- Major
133.0,A- Major
134.0,A- Major
135.0,A- Major
136.0,A- Major
137.0,A- Major
138.0,A- Major
139.0,A- Major
140.0,c Minor
141.0,c Minor
142.0,c Minor
143.0,c Minor
145.0,c Minor
147.0,c Minor
148.0,c Minor
149.0,c Minor
150.0,c Minor
151.0,c Minor
152.0,B- Major
155.0,B- Major
156.0,c Minor
157.0,c Minor
158.0,c Minor
159.0,c Minor
160.0,A- Major
164.0,A- Major
165.0,A- Major
166.0,A- Major
167.0,A- Major
168.0,A- Major
169.0,A- Major
170.0,A- Major
171.0,A- Major
172.0,c Minor
173.0,c Minor
174.0,c Minor
175.0,c Minor
176.0,g Minor
177.0,g Minor
178.0,g Minor
179.0,g Minor
180.0,g Minor
181.0,g Minor
182.0,g Minor
183.0,g Minor
184.0,g Minor
185.0,g Minor
186.0,g Minor
187.0,g Minor
188.0,g Minor
189.0,g Minor
190.0,g Minor
191.0,g Minor
192.0,g Minor
193.0,g Minor
194.0,g Minor
195.0,g Minor
196.0,B- Major
197.0,B- Major
198.0,B- Major
199.0,B- Major
200.0,g Minor
201.0,g Minor
202.0,g Minor
203.0,g Minor
205.0,g Minor
206.0,g Minor
208.0,g Minor
209.0,g Minor
210.0,g Minor
211.0,g Minor
212.0,g Minor
213.0,g Minor
214.0,g Minor
215.0,g Minor
216.0,g Minor
217.0,g Minor
219.0,g Minor
220.0,g Minor
221.0,g Minor
222.0,g Minor
223.0,g Minor
224.0,c Minor
225.0,c Minor
226.0,c Minor
227.0,c Minor
228.0,c Minor
229.0,c Minor
230.0,c Minor
231.0,c Minor
232.0,B- Major
233.0,B- Major
234.0,B- Major
235.0,B- Major
236.0,g Minor
237.0,g Minor
238.0,g Minor
239.0,g Minor
240.0,g Minor
241.0,g Minor
242.0,g Minor
243.0,g Minor
244.0,g Minor
245.0,g Minor
246.0,g Minor
247.0,g Minor
248.0,g Minor
249.0,g Minor
251.0,g Minor
252.0,g Minor
254.0,g Minor
257.0,g Minor
258.0,g Minor
259.0,g Minor
260.0,g Minor
