offset,key
0.0,c Minor
2.5,E- Major
4.5,E- Major
5.5,E- Major
6.5,E- Major
7.5,E- Major
8.5,E- Major
9.5,E- Major
10.5,E- Major
11.5,E- Major
12.5,c Minor
13.5,c Minor
14.5,c Minor
15.5,c Minor
17.5,c Minor
18.5,E- Major
19.5,E- Major
20.5,E- Major
21.5,E- Major
26.5,E- Major
27.5,E- Major
28.5,E- Major
29.5,E- Major
30.5,E- Major
31.5,E- Major
32.5,E- Major
33.5,E- Major
34.5,E- Major
35.5,E- Major
36.5,c Minor
37.5,c Minor
38.5,c Minor
39.5,c Minor
41.5,c Minor
42.5,E- Major
43.5,E- Major
44.5,E- Major
45.5,E- Major
48.5,c Minor
51.5,c Minor
54.5,E- Major
55.5,E- Major
56.5,E- Major
57.5,E- Major
60.5,E- Major
61.5,E- Major
62.5,E- Major
