offset,key
0.0,C# Major
10.0,f# Minor
14.0,c# Minor
17.0,c# Minor
19.0,c# Minor
20.0,A Major
22.0,A Major
23.0,A Major
24.0,A Major
26.0,A Major
28.0,A Major
30.0,A Major
33.0,A Major
35.0,A Major
40.0,c# Minor
42.0,c# Minor
43.0,c# Minor
44.0,c# Minor
46.0,c# Minor
47.0,c# Minor
48.0,c# Minor
50.0,c# Minor
52.0,c# Minor
55.0,c# Minor
58.0,c# Minor
59.0,c# Minor
60.0,c# Minor
62.0,c# Minor
64.0,c# Minor
66.0,c# Minor
67.0,c# Minor
68.0,c# Minor
76.0,c# Minor
78.0,c# Minor
79.0,c# Minor
81.0,c# Minor
82.0,c# Minor
83.0,c# Minor
84.0,E Major
86.0,E Major
87.0,E Major
88.0,f# Minor
90.0,f# Minor
92.0,f# Minor
94.0,f# Minor
95.0,f# Minor
97.0,f# Minor
98.0,f# Minor
99.0,f# Minor
100.0,f# Minor
101.0,f# Minor
102.0,f# Minor
109.0,D Major
112.0,c# Minor
113.0,c# Minor
114.0,c# Minor
115.0,c# Minor
116.0,c# Minor
118.0,c# Minor
119.0,c# Minor
121.0,c# Minor
122.0,c# Minor
124.0,c# Minor
125.0,c# Minor
126.0,c# Minor
127.0,c# Minor
128.0,c# Minor
130.0,C# Major
131.0,C# Major
133.0,C# Major
134.0,C# Major
136.0,C# Major
137.0,C# Major
138.0,C# Major
139.0,C# Major
140.0,C# Major
141.0,C# Major
142.0,c# Minor
143.0,C# Major
144.0,c# Minor
145.0,c# Minor
146.0,c# Minor
147.0,c# Minor
148.0,c# Minor
149.0,c# Minor
150.0,c# Minor
151.0,c# Minor
152.0,c# Minor
153.0,c# Minor
154.0,G## Major
155.0,G## Major
