offset,key
0.0,f Minor
21.0,G Major
21.5,f Minor
51.0,E- Major
52.5,A- Major
53.0,D- Major
57.0,a- Minor
61.5,C- Major
63.5,D- Major
70.5,d- Minor
73.0,A- Major
75.0,e Minor
77.5,C Major
78.5,A- Major
79.5,d- Minor
84.0,G- Major
84.5,D- Major
85.5,C Major
87.25,D- Major
88.5,f Minor
93.5,D- Major
94.0,f Minor
94.75,C Major
96.25,D- Major
97.5,f Minor
99.625,A- Major
101.25,D- Major
102.25,f Minor
105.25,C Major
107.0,f Minor
114.75,b- Minor
116.75,A- Major
117.25,f Minor
117.75,A- Major
119.0,f Minor
126.75,b- Minor
128.0,f Minor
132.75,G Major
133.25,f Minor
145.25,F Major
151.75,b- Minor
154.75,b Minor
157.75,C Major
160.75,D- Major
162.25,A- Major
162.75,b- Minor
166.75,D- Major
168.75,d Minor
169.0,b- Minor
171.75,C Major
173.25,c Minor
173.75,f Minor
178.75,b- Minor
179.5,f Minor
180.75,b- Minor
182.5,f Minor
183.75,b- Minor
185.25,f Minor
197.0,b- Minor
198.0,f Minor
200.0,E- Major
