offset,key
0.0,c# Minor
11.0,c# Minor
17.0,B Major
19.0,B Major
21.0,B Major
22.0,B Major
23.0,B Major
24.0,B Major
25.0,B Major
26.0,B Major
27.0,B Major
28.0,B Major
29.0,B Major
30.0,B Major
31.0,B Major
32.0,B Major
33.0,B Major
35.0,B Major
36.0,B Major
37.0,B Major
39.0,B Major
40.0,B Major
41.0,B Major
42.0,B Major
43.0,B Major
44.0,B Major
45.0,B Major
46.0,B Major
47.0,B Major
48.0,B Major
49.0,B Major
50.0,B Major
51.0,g# Minor
52.0,g# Minor
53.0,g# Minor
54.0,g# Minor
55.0,c# Minor
56.0,c# Minor
57.0,c# Minor
58.0,c# Minor
59.0,c# Minor
60.0,c# Minor
61.0,c# Minor
62.0,c# Minor
63.0,c# Minor
65.0,c# Minor
66.0,c# Minor
68.0,c# Minor
69.0,c# Minor
